Metascore,Meta Status,# of Critic Reviews,Userscore,Userscore Status,Rating,Year,Number of Platforms,Rank,Positive %,Mixed %,Negative %,Month,NA_Sales,Global_Sales,User_Count,Publisher,Developer,Genre
96,universal acclaim,81.0,9.2,universal acclaim,M,2004.0,1,1.0,16.91470635301648,1.2642022723635782,0.8961433829412706,11.0,3.0199999999999996,3.59,8895.0,Vivendi Games,Valve Software,Shooter
96,universal acclaim,34.0,9.1,universal acclaim,M,2007.0,2,1.0,11.250560286866875,0.4034065441506051,0.17929179740026896,10.0,1.37,3.02,2480.0,Electronic Arts,Valve Software,Shooter
96,universal acclaim,24.0,9.1,universal acclaim,M,1998.0,1,1.0,13.262551736548497,0.8457800971747346,0.37790174554615796,11.0,4.32,4.72,3255.0,Vivendi Games,Valve Software,Shooter
94,universal acclaim,55.0,8.9,generally favorable reviews,M,2010.0,2,1.0,10.813704496788008,1.9450392576730906,0.8029978586723768,1.0,2.78,4.94,7783.0,Electronic Arts,BioWare,Role-Playing
94,universal acclaim,12.0,8.6,generally favorable reviews,M,1996.0,1,3.0,8.579881656804734,0.9615384615384616,0.7396449704142012,12.0,0.3,2.17,850.0,Activision,Blizzard Entertainment,Role-Playing
94,universal acclaim,50.0,8.2,generally favorable reviews,E10+,2005.0,1,1.0,11.369509043927648,2.5839793281653747,3.7037037037037033,10.0,0.02,0.16,909.0,Take-Two Interactive,Firaxis Games,Strategy
93,universal acclaim,55.0,8.7,generally favorable reviews,M,2006.0,1,2.0,16.83848797250859,2.7491408934707904,1.443298969072165,9.0,0.0,0.05,1128.0,THQ,Relic,Strategy
93,universal acclaim,82.0,8.2,generally favorable reviews,T,2010.0,1,2.0,15.990325181402849,4.004299919376511,3.6549314700349367,7.0,2.57,4.84,3052.0,Activision,Blizzard Entertainment,Strategy
93,universal acclaim,20.0,8.8,generally favorable reviews,E,1999.0,1,1.0,10.294117647058822,0.49019607843137253,0.24509803921568626,8.0,0.0,0.02,326.0,Vivendi Games,Relic,Strategy
93,universal acclaim,33.0,9.0,universal acclaim,T,2003.0,2,2.0,13.74889478337754,0.8399646330680812,1.1494252873563218,11.0,1.69,2.33,1814.0,Activision,BioWare,Role-Playing
93,universal acclaim,57.0,7.4,mixed or average reviews,T,2004.0,1,3.0,10.09953161592506,2.839578454332553,5.181498829039813,11.0,0.08,6.29,2182.0,Activision,Blizzard Entertainment,Role-Playing
92,universal acclaim,40.0,9.2,universal acclaim,T,2002.0,1,2.0,9.495798319327731,0.29411764705882354,0.7142857142857143,7.0,0.03,0.13,1023.0,Vivendi Games,Blizzard Entertainment,Strategy
92,universal acclaim,36.0,8.7,generally favorable reviews,M,2005.0,3,3.0,12.310286677908937,1.3490725126475547,1.3490725126475547,3.0,1.18,2.23,253.0,Ubisoft,Ubisoft Montreal,Action
92,universal acclaim,58.0,9.0,universal acclaim,T,2004.0,1,5.0,13.56509884117246,0.8861622358554875,0.7498295841854125,9.0,0.0,0.1,1050.0,Activision,Creative Assembly,Strategy
92,universal acclaim,14.0,5.0,mixed or average reviews,E,2002.0,1,3.0,7.5,0.0,0.0,11.0,1.33,2.31,34.0,Electronic Arts,EA Sports,Sports
91,universal acclaim,47.0,7.7,generally favorable reviews,T,2008.0,1,2.0,5.752508361204013,1.7391304347826086,2.5418060200668897,11.0,0.01,1.32,930.0,Activision,Blizzard Entertainment,Role-Playing
91,universal acclaim,64.0,6.4,mixed or average reviews,T,2016.0,3,3.0,9.128377346969927,4.0146542512593495,9.418409403144558,5.0,1.69,3.7300000000000004,6078.0,Activision,Blizzard Entertainment,Shooter
91,universal acclaim,20.0,8.5,generally favorable reviews,T,2003.0,3,4.0,9.414225941422593,1.6736401673640167,0.0,2.0,3.25,6.0,256.0,Ubisoft,Ubisoft Montreal,Action
91,universal acclaim,56.0,8.1,generally favorable reviews,M,2007.0,2,5.0,12.69107714184145,4.443654461429079,2.9505865623889087,11.0,0.0,0.71,1970.0,Electronic Arts,Crytek,Shooter
91,universal acclaim,16.0,4.0,generally unfavorable reviews,E,2004.0,1,6.0,5.769230769230769,0.0,0.0,9.0,1.77,2.44,73.0,Electronic Arts,EA Sports,Sports
91,universal acclaim,23.0,7.8,generally favorable reviews,T,2009.0,3,2.0,5.681818181818182,0.9090909090909091,2.727272727272727,7.0,3.92,7.23,974.0,Capcom,Capcom,Fighting
91,universal acclaim,34.0,8.2,generally favorable reviews,T,2002.0,1,5.0,12.180451127819548,1.5037593984962405,2.556390977443609,6.0,0.0,0.03,490.0,Atari,BioWare,Role-Playing
91,universal acclaim,67.0,8.8,generally favorable reviews,M,2009.0,2,3.0,12.75616896695943,2.0702634880803013,1.4010874111250522,11.0,2.7199999999999998,4.74,4864.0,Electronic Arts,BioWare,Role-Playing
90,universal acclaim,61.0,8.7,generally favorable reviews,T,2004.0,1,7.0,15.753424657534246,1.076320939334638,0.9784735812133072,9.0,2.72,4.37,920.0,Electronic Arts,Maxis,Simulation
90,universal acclaim,53.0,5.7,mixed or average reviews,T,2010.0,1,3.0,4.822134387351778,5.375494071146245,7.5098814229249005,12.0,1.77,2.08,953.0,Activision,Blizzard Entertainment,Role-Playing
90,universal acclaim,22.0,6.6,mixed or average reviews,E,2000.0,1,6.0,7.547169811320755,1.8867924528301887,0.0,9.0,1.17,2.2199999999999998,23.0,Electronic Arts,EA Sports,Sports
90,universal acclaim,23.0,7.8,generally favorable reviews,T,2005.0,1,5.0,22.321428571428573,2.6785714285714284,7.142857142857142,3.0,0.0,0.08,95.0,Ubisoft,Ubisoft,Simulation
90,universal acclaim,70.0,8.0,generally favorable reviews,E10+,2010.0,1,4.0,10.542476970317297,4.469464346639372,4.810644831115661,9.0,0.98,1.68,2280.0,Take-Two Interactive,Firaxis Games,Strategy
90,universal acclaim,62.0,8.3,generally favorable reviews,T,2011.0,1,6.0,14.714086471408647,3.695955369595537,2.2315202231520224,3.0,0.19,0.6,1180.0,Sega,Creative Assembly,Strategy
90,universal acclaim,62.0,7.0,mixed or average reviews,T,2009.0,1,5.0,10.489949748743719,6.155778894472362,9.987437185929648,3.0,0.01,1.08,2981.0,Sega,Creative Assembly,Strategy
89,generally favorable reviews,71.0,8.3,generally favorable reviews,M,2015.0,1,6.0,13.613955252180507,3.678422449753508,2.123625331816458,3.0,0.0,0.02,2191.0,Paradox Interactive,Obsidian Entertainment,Role-Playing
89,generally favorable reviews,7.0,8.3,generally favorable reviews,E,2006.0,1,4.0,9.183673469387756,7.142857142857142,4.081632653061225,4.0,0.18,4.5,32.0,Konami Digital Entertainment,Konami,Sports
89,generally favorable reviews,55.0,8.4,generally favorable reviews,M,2009.0,1,6.0,13.618119266055045,2.86697247706422,2.092889908256881,11.0,2.67,4.33,3211.0,Electronic Arts,Valve Software,Shooter
89,generally favorable reviews,45.0,8.6,generally favorable reviews,M,2008.0,2,7.0,10.075305115554402,2.1812516229550765,1.0127239678005713,5.0,1.83,3.58,4078.0,Microsoft Game Studios,BioWare,Role-Playing
89,generally favorable reviews,38.0,8.2,generally favorable reviews,M,2012.0,4,6.0,13.940572063315745,3.0824770896973064,2.2216051096917524,9.0,3.6799999999999997,6.85,4590.0,Take-Two Interactive,Gearbox Software,Shooter
89,generally favorable reviews,72.0,8.0,generally favorable reviews,M,2004.0,1,10.0,14.83375959079284,5.200341005967604,2.813299232736573,3.0,0.0,0.05,724.0,Ubisoft,Crytek,Shooter
89,generally favorable reviews,57.0,8.2,generally favorable reviews,M,2012.0,4,7.0,14.831981460023174,4.866743916570105,3.5534955581305523,10.0,1.23,2.52,3263.0,Take-Two Interactive,Firaxis Games,Strategy
89,generally favorable reviews,23.0,6.0,mixed or average reviews,M,2012.0,3,8.0,10.15625,4.8828125,14.578683035714285,3.0,3.11,5.7,11500.0,Electronic Arts,BioWare,Role-Playing
89,generally favorable reviews,61.0,7.6,generally favorable reviews,M,2011.0,2,8.0,20.046329294369208,3.6707056307911614,4.900213827512474,10.0,11.05,24.439999999999998,10590.0,Electronic Arts,EA DICE,Shooter
89,generally favorable reviews,12.0,7.1,mixed or average reviews,E,2002.0,1,15.0,40.909090909090914,9.090909090909092,0.0,8.0,5.24,6.5,98.0,Electronic Arts,EA Sports,Sports
89,generally favorable reviews,22.0,8.2,generally favorable reviews,T,2009.0,2,7.0,11.963882618510159,1.3544018058690745,2.2573363431151243,12.0,0.8400000000000001,2.65,588.0,Codemasters,Codemasters,Racing
89,generally favorable reviews,32.0,8.5,generally favorable reviews,T,2003.0,2,9.0,9.845288326300984,2.6722925457102673,0.5625879043600562,12.0,1.81,3.6300000000000003,322.0,Ubisoft,Ubisoft,Action
88,generally favorable reviews,24.0,8.0,generally favorable reviews,M,2011.0,2,10.0,8.686969545681478,2.6959560659011483,1.0484273589615578,3.0,4.87,6.9,2586.0,Ubisoft,Ubisoft Montreal,Action
